title,author,publisher,pub_date,price,score,image_src,image_name
객체지향 파이썬 프로그래밍,스티븐 로트,에이콘출판사,2017년 02월,"40,500",10,https://image.yes24.com/goods/35868954/L,35868954
"머신 러닝을 다루는 기술 with 파이썬, 사이킷런",마크 페너,길벗,2020년 06월,"30,600",9.4,https://image.yes24.com/goods/90706572/L,90706572
파이썬과 수치 해석 2/e,로버트 요한슨,에이콘출판사,2019년 08월,"45,000",,https://image.yes24.com/goods/78214796/L,78214796
파이썬 마이크로서비스,타렉 지아드,에이콘출판사,2019년 05월,"31,500",,https://image.yes24.com/goods/73161840/L,73161840
파이썬을 활용한 금융공학 레시피,김용환,한빛미디어,2018년 06월,"25,200",8.8,https://image.yes24.com/goods/61177004/L,61177004
파이썬으로 시작하는 데이터 분석,강지영,아이리포,2021년 07월,"19,800",,https://image.yes24.com/goods/102578161/L,102578161
파이썬 머신러닝 실무 테크닉 100,시모야마 데루마사,제이펍,2021년 12월,"22,500",10,https://image.yes24.com/goods/105401945/L,105401945
파이썬 자료구조와 알고리즘,미아 스타인,한빛미디어,2019년 06월,"19,800",9.1,https://image.yes24.com/goods/74971408/L,74971408
파이썬 for Beginner,우재남,한빛아카데미,2022년 01월,"25,000",10,https://image.yes24.com/goods/105673484/L,105673484
손에 잡히는 퀀트 투자 with 파이썬,GIL′s LAB,위키북스,2022년 02월,"28,800",,https://image.yes24.com/goods/107036607/L,107036607
프로그래머를 위한 파이썬,데인 힐라드,제이펍,2020년 11월,"22,500",9.8,https://image.yes24.com/goods/94865600/L,94865600
파이썬을 활용한 지리공간 분석 마스터하기,폴 크릭커드,에이콘출판사,2020년 10월,"36,000",,https://image.yes24.com/goods/93400101/L,93400101
암호 해킹으로 배우는 파이썬의 기초,알 스웨이가트,에이콘출판사,2019년 07월,"31,500",,https://image.yes24.com/goods/76899516/L,76899516
파이썬을 활용한 스파크 프로그래밍,제프리 에이븐,에이콘출판사,2019년 08월,"27,000",,https://image.yes24.com/goods/77356185/L,77356185
파이썬으로 배우는 게임 개발 입문편,히로세 츠요시,제이펍,2020년 10월,"25,200",9.7,https://image.yes24.com/goods/93802364/L,93802364
파이썬 네트워킹 마스터 2/e,에릭 추,에이콘출판사,2019년 10월,"31,500",,https://image.yes24.com/goods/80771025/L,80771025
파이썬 3로 컴퓨터 비전 다루기,사우랍 카푸,에이콘출판사,2018년 01월,"21,600",,https://image.yes24.com/goods/58094056/L,58094056
파이썬 자연어 처리의 이론과 실제,잘라지 트하나키,에이콘출판사,2018년 06월,"31,500",,https://image.yes24.com/goods/61511014/L,61511014
파이썬으로 배우는 인공지능,프라틱 조쉬,에이콘출판사,2017년 05월,"36,000",,https://image.yes24.com/goods/39862331/L,39862331
